Destination,District,Timespan,Review
Attidiya Bird Sanctuary,colombo,3 months ago,spots scenic make ideal dwelling birds creatures would lots better locals make effort preserve pristine nature
Attidiya Bird Sanctuary,colombo,3 months ago,good place birdwatching different type around
Attidiya Bird Sanctuary,colombo,5 years ago,calm peaceful location visit time got separate walking path separate path ride bicycles bicycle renting shops near park rent bicycles ride got
Attidiya Bird Sanctuary,colombo,3 years ago,one places entire city known providing minimum different birds includes migratory local birds able witness large number
Attidiya Bird Sanctuary,colombo,2 years ago,early morning magical time dawn cool surround marshy waters one observe bird life move freely around looking food preening
Attidiya Bird Sanctuary,colombo,3 years ago,place cycling good set people maintain properly food court also enough space parking
Attidiya Bird Sanctuary,colombo,4 years ago,urban birds watching placename thinking place similar hackbut separate develop road better go road catch amount birds pictures crocodiles
Attidiya Bird Sanctuary,colombo,4 years ago,closest place heaven find close colombo suburbs average food court mar beauty holds within place lively laughter rent bike ride around sanctuary
Attidiya Bird Sanctuary,colombo,4 years ago,relaxing place located conveniently plenty parking around place birds watching best times around walking track round trip passing temple good area watch birds also
Attidiya Bird Sanctuary,colombo,4 years ago,beautiful recommended walking bicycles calm natural place 
Attidiya Bird Sanctuary,colombo,4 years ago,fact birds sanctuary wrong term cycling track food court seating area cement tables trees get bike rent keeping nice lien
Attidiya Bird Sanctuary,colombo,5 years ago,amidst well populated suburbs colombo lie marshy lands bird sanctuary bordering famous buddhist temple sanctuary diverse birdlike comparatively
Attidiya Bird Sanctuary,colombo,4 years ago,nice place watch birds near colombo large lake surrounding bird sanctuary
Attidiya Bird Sanctuary,colombo,3 years ago,contact via stay accompany many bird watching sanctuary colombo district western province including bird sanctuary
Attidiya Bird Sanctuary,colombo,2 years ago,place colombo provides least different birds local migratory
Attidiya Bird Sanctuary,colombo,4 months ago,good place bird watching reach early morning
Attidiya Bird Sanctuary,colombo,4 years ago,many local birds human crocodiles lake
Attidiya Bird Sanctuary,colombo,5 years ago,nice place see birds morning around see beautiful views
Attidiya Bird Sanctuary,colombo,3 years ago,beautiful scenery lovely place walk jog cycle ride common area everything lake road sometimes crocodiles well nice place come evening time change
Attidiya Bird Sanctuary,colombo,a year ago,important place keep balance nature however part sanctuary near bridge road near invaded shops covering scenic view board displaced well
Attidiya Bird Sanctuary,colombo,4 years ago,ideal place day outing family place much crowded meal food court ride bicycle ride around lake rent bicycle per hour
Attidiya Bird Sanctuary,colombo,3 months ago,much good nature lovers
Attidiya Bird Sanctuary,colombo,4 years ago,good place make mind relaxed also ride bicycle
Attidiya Bird Sanctuary,colombo,5 years ago,great place evening walk bicycle ride really lovely track sad say park condition early people
Attidiya Bird Sanctuary,colombo,9 months ago,one places entire city known providing minimum different birds includes migratory local birds able witness large number
Attidiya Bird Sanctuary,colombo,4 years ago,nice place hangout evening little food court doesn't much food varieties car park  vehicles also bicycles rent near park give nice per hour bike basically nice place spend evening family
Attidiya Bird Sanctuary,colombo,5 years ago,great place walking track biking track food court nice look around deciding
Attidiya Bird Sanctuary,colombo,2 years ago,one refreshing places see colombo bird sanctuary home avian along variations insects butterflies biodiversity place leave take
Attidiya Bird Sanctuary,colombo,5 years ago,place riding bicycle family members also good place lovers walking around spend times many things available
Attidiya Bird Sanctuary,colombo,4 years ago,little hard find entrance besides great mufti use trail around lake birds many hoped relaxed place popular locals tourists calm peaceful
Attidiya Bird Sanctuary,colombo,3 years ago,lovely place walk jog cycle ride wish would place boards indicating distance start point users would know distance covered annoying number people walk natural
Attidiya Bird Sanctuary,colombo,5 years ago,expansive area lot greenery lot birds visit early morning see birds 'll see daytime looks like increasing population surrounding areas ever rising levels driven birds away reasonably sanctuary
Attidiya Bird Sanctuary,colombo,5 years ago,good place spend time people health fitness scenic route walking cycling track
Attidiya Bird Sanctuary,colombo,3 years ago,relaxing place located conveniently plenty parking around place birds watching best times around walking track round trip
Attidiya Bird Sanctuary,colombo,a year ago,nothing special see limited choices fish therapy fish really botany place visit interested nothing much see
Attidiya Bird Sanctuary,colombo,6 years ago,great place evening dinner bit expensive foods compare taste quality quite reasonable also track round great cycling
Attidiya Bird Sanctuary,colombo,5 years ago,near park temple track around sanctuary long crowded nice place evening walk friends family mountain bike rental places nearby get one less price
Attidiya Bird Sanctuary,colombo,6 years ago,great place attractive view
Attidiya Bird Sanctuary,colombo,4 years ago,good place visit relaxing walking couple good locally popular eateries offer clean tasty food good place scattering cycling cycles rented cheap rate
Attidiya Bird Sanctuary,colombo,4 months ago,many birds
Attidiya Bird Sanctuary,colombo,3 years ago,place colombo provides least different birds local migratory large number water monitors butterflies insects birds tend catch attention
Attidiya Bird Sanctuary,colombo,4 years ago,place early morning beauty rising behind dams peak distance spiritual physical one breathe surrounding marsh wake call birds looking crocodiles lurking water bliss
Attidiya Bird Sanctuary,colombo,a year ago,park people enter unless authorization name park given meaning going go main road
Attidiya Bird Sanctuary,colombo,4 years ago,needs little maintenance good place animal treatment wild bird home could fly looked sick gave bird sanctuary veterinary available time taker bird many animals present
Attidiya Bird Sanctuary,colombo,2 years ago,well maintained allowed visitors unless tree planting check relevant authorities needed visiting
Attidiya Bird Sanctuary,colombo,3 years ago,urban sanctuary area near colombo suburb area sanctuary diverse biodiversity including birds butterflies fish walking track inside sanctuary obtain information entrance office
Attidiya Bird Sanctuary,colombo,4 years ago,nature completely authorities destroyed beauty place birds see due people natural nature park greater colombo
Attidiya Bird Sanctuary,colombo,a year ago,bird sanctuary place people beginners bird watching visit feel please remember pollute go
Attidiya Bird Sanctuary,colombo,6 years ago,nice place bike ridding bird watching workers trained security guard came told take photographs door camera phone commercial recording allowed
Attidiya Bird Sanctuary,colombo,4 years ago,peace full place nice place hangout friends
Attidiya Bird Sanctuary,colombo,3 years ago,track separate bicycle track great going food court well free cs days week
Attidiya Bird Sanctuary,colombo,3 years ago,extremely picturesque well planned walking cycling path also food court must everyone healthy body mind soul
Attidiya Bird Sanctuary,colombo,5 years ago,good place easy reach ample parking good food outlets needs segregated cans places people tend near vicinity
Attidiya Bird Sanctuary,colombo,4 months ago,good place watch birds
Attidiya Bird Sanctuary,colombo,4 years ago,important also see many variety birds see crocodiles rivers must protect aria definitely
Attidiya Bird Sanctuary,colombo,4 years ago,formal birding trail within sanctuary really good proper trail constructed maintained ticket booth information center
Attidiya Bird Sanctuary,colombo,2 years ago,doesn't go days constructions going evenings full  machines bird watchers ever watch birds go morning group safety
Attidiya Bird Sanctuary,colombo,4 years ago,scenic place walk experience paddy experience deferent happenings people ages walks life
Attidiya Bird Sanctuary,colombo,4 years ago,close city natural beauty home several varieties birds sri lanka spring several birds come different countries
Attidiya Bird Sanctuary,colombo,4 years ago,place close colombo bird watching see creatures like dragonflies butterflies like monitor water monitor entrance free unless hire guide plastic pollution need addressed direction
Attidiya Bird Sanctuary,colombo,2 years ago,visited give bird found worried since want eating kind taking higher
Attidiya Bird Sanctuary,colombo,5 years ago,beautiful place adjoins well maintained track surrounding lake love visiting place relax take photos different kinds birds taking pictures landscape beautiful
Attidiya Bird Sanctuary,colombo,7 years ago,one bird sanctuaries within colombo quite worth visit early morning get see large number birds
Attidiya Bird Sanctuary,colombo,3 years ago,bird hatching busy walkway
Attidiya Bird Sanctuary,colombo,7 years ago,good sanctuary sri brick development carried recently biodiversity reduced department wildlife conservation paid much attention protect resource
Attidiya Bird Sanctuary,colombo,5 years ago,one suitable place take fresh breath colombo need break go calm love place
Attidiya Bird Sanctuary,colombo,6 years ago,place spend evening foods tasty little bit expensive
Attidiya Bird Sanctuary,colombo,8 months ago,visit eager visit
Attidiya Bird Sanctuary,colombo,4 years ago,peaceful place visit evenings one see lots birds especially evening times good place photography
