name,category,district,entrance_fee,accessibility,trekking_difficulty,description,image_path
Abarana Ella,attraction,Hambantota,0.0,Moderate,N/A,Abarana Ella located in Hambantota.,data/images/abarana_ella.jpg
Ampara,attraction,Ampara,0.0,Moderate,N/A,"Nearby Accommodation: WHITE HOUSE-AMPARA (Bangalows), HIDEAWAY RESORT (Guest Houses), SUPERSTAR TOURIST INN (Guest Houses)",data/images/ampara.jpg
Anuradhapura,attraction,Anuradhapura,0.0,Moderate,N/A,"Nearby Accommodation: ULAGALLA WALAWWA RESORT (Boutique Hotels), KIVGA HOLIDAY HOME (Bangalows), SANDELLE HOLIDAY RESORT (Bangalows)",data/images/anuradhapura.jpg
Aradunu Falls,attraction,Badulla,0.0,Moderate,N/A,Aradunu Falls located in Badulla.,data/images/aradunu_falls.jpg
Arankele archaeological site,attraction,Kurunagela,0.0,Moderate,N/A,Arankele archaeological site located in Kurunagela.,data/images/arankele_archaeological_site.jpg
Asgiriya Raja Maha Viharaya,attraction,Gampaha,0.0,Moderate,N/A,Asgiriya Raja Maha Viharaya located in Gampaha.,data/images/asgiriya_raja_maha_viharaya.jpg
Atha Mala Ella,attraction,Matara,0.0,Moderate,N/A,Atha Mala Ella located in Matara.,data/images/atha_mala_ella.jpg
Athkanda raja maha viharaya,attraction,Kurunagela,0.0,Moderate,N/A,Athkanda raja maha viharaya located in Kurunagela.,data/images/athkanda_raja_maha_viharaya.jpg
Athugala viharaya,attraction,Kurunagela,0.0,Moderate,N/A,Athugala viharaya located in Kurunagela.,data/images/athugala_viharaya.jpg
Attidiya Bird Sanctuary,attraction,colombo,0.0,Moderate,N/A,Attidiya Bird Sanctuary located in colombo.,data/images/attidiya_bird_sanctuary.jpg
Badulla,attraction,Badulla,0.0,Moderate,N/A,"Nearby Accommodation: FOREST PARADISE GUEST HOME (Bangalows), CLOUDS (Bangalows), SAMANPAYA HOLIDAY BUNGALOW (Bangalows)",data/images/badulla.jpg
Badulla Alugolla Samadhi Buddha,attraction,Badulla,0.0,Moderate,N/A,Badulla Alugolla Samadhi Buddha located in Badulla.,data/images/badulla_alugolla_samadhi_buddha.jpg
Badulla Dutch Fort,attraction,Badulla,0.0,Moderate,N/A,Badulla Dutch Fort located in Badulla.,data/images/badulla_dutch_fort.jpg
Badulla Katharagama Devalaya,attraction,Badulla,0.0,Moderate,N/A,Badulla Katharagama Devalaya located in Badulla.,data/images/badulla_katharagama_devalaya.jpg
Balakaduwa ella waterfall,attraction,Matale,0.0,Moderate,N/A,Balakaduwa ella waterfall located in Matale.,data/images/balakaduwa_ella_waterfall.jpg
Bambarakanda Falls,waterfalls,Badulla,100.0,Moderate,Easy,Bambarakanda Falls is the highest waterfall in Sri Lanka with a height of 263 meters located in Kalupahana.,data/images/bambarakanda.jpg
Bambarakiri ella,attraction,Matale,0.0,Moderate,N/A,Bambarakiri ella located in Matale.,data/images/bambarakiri_ella.jpg
Barberyn Island,attraction,Kalutara,0.0,Moderate,N/A,Barberyn Island located in Kalutara.,data/images/barberyn_island.jpg
Bataatha Agro Technology and Tourism Park,attraction,Hambantota,0.0,Moderate,N/A,Bataatha Agro Technology and Tourism Park located in Hambantota.,data/images/bataatha_agro_technology_and_tourism_park.jpg
Batadobalena,attraction,Rathnapura,0.0,Moderate,N/A,Batadobalena located in Rathnapura.,data/images/batadobalena.jpg
Batticaloa,attraction,Batticaloa,0.0,Moderate,N/A,"Nearby Accommodation: MAALU MAALU RESORTS & SPA (Boutique Hotels), COCO VILLE (Bangalows), 15 L M D (Bangalows)",data/images/batticaloa.jpg
Beddagana Wetland Park,attraction,colombo,0.0,Moderate,N/A,Beddagana Wetland Park located in colombo.,data/images/beddagana_wetland_park.jpg
Bellagio colombo,attraction,colombo,0.0,Moderate,N/A,Bellagio colombo located in colombo.,data/images/bellagio_colombo.jpg
Birds Research Center Hambantota,attraction,Hambantota,0.0,Moderate,N/A,Birds Research Center Hambantota located in Hambantota.,data/images/birds_research_center_hambantota.jpg
Biso Ella Waterfall,attraction,Matara,0.0,Moderate,N/A,Biso Ella Waterfall located in Matara.,data/images/biso_ella_waterfall.jpg
Black Galle Fort,attraction,Galle,0.0,Moderate,N/A,Black Galle Fort located in Galle.,data/images/black_galle_fort.jpg
Blackpool,attraction,Badulla,0.0,Moderate,N/A,Blackpool located in Badulla.,data/images/blackpool.jpg
Boburu Fall Tracking,attraction,Badulla,0.0,Moderate,N/A,Boburu Fall Tracking located in Badulla.,data/images/boburu_fall_tracking.jpg
Bogoda Raja Maha Viharaya,attraction,Badulla,0.0,Moderate,N/A,Bogoda Raja Maha Viharaya located in Badulla.,data/images/bogoda_raja_maha_viharaya.jpg
Bomburu Ella Waterfall,attraction,Badulla,0.0,Moderate,N/A,Bomburu Ella Waterfall located in Badulla.,data/images/bomburu_ella_waterfall.jpg
Bopagama Ella,attraction,Gampaha,0.0,Moderate,N/A,Bopagama Ella located in Gampaha.,data/images/bopagama_ella.jpg
Bopath Falls,attraction,Rathnapura,0.0,Moderate,N/A,Bopath Falls located in Rathnapura.,data/images/bopath_falls.jpg
Bundala National Park,attraction,Hambantota,0.0,Moderate,N/A,Bundala National Park located in Hambantota.,data/images/bundala_national_park.jpg
Bundala Safari with Srimal,attraction,Hambantota,0.0,Moderate,N/A,Bundala Safari with Srimal located in Hambantota.,data/images/bundala_safari_with_srimal.jpg
Casino Marina colombo,attraction,colombo,0.0,Moderate,N/A,Casino Marina colombo located in colombo.,data/images/casino_marina_colombo.jpg
Cathedral Church of Christ the King,attraction,Kurunagela,0.0,Moderate,N/A,Cathedral Church of Christ the King located in Kurunagela.,data/images/cathedral_church_of_christ_the_king.jpg
Children park - lakeround,attraction,Kurunagela,0.0,Moderate,N/A,Children park - lakeround located in Kurunagela.,data/images/children_park_-_lakeround.jpg
"Christ Church Warleigh, Dickoya",attraction,Hatton,0.0,Moderate,N/A,"Christ Church Warleigh, Dickoya located in Hatton.","data/images/christ_church_warleigh,_dickoya.jpg"
Coconut Tree Hill,attraction,Matara,0.0,Moderate,N/A,Coconut Tree Hill located in Matara.,data/images/mirissa.jpg
Colombo,attraction,Colombo,0.0,Moderate,N/A,"Nearby Accommodation: PARADISE ROAD TINTAGEL COLOMBO (Boutique Hotels), CASA COLOMBO (Boutique Hotels), DVILLAS LUXURY (Boutique Villas)",data/images/colombo.jpg
Crow Island Beach Park,attraction,colombo,0.0,Moderate,N/A,Crow Island Beach Park located in colombo.,data/images/crow_island_beach_park.jpg
Dalada maligawa kurunagela,attraction,Kurunagela,0.0,Moderate,N/A,Dalada maligawa kurunagela located in Kurunagela.,data/images/dalada_maligawa_kurunagela.jpg
Dandeniya Wewa,attraction,Matara,0.0,Moderate,N/A,Dandeniya Wewa located in Matara.,data/images/dandeniya_wewa.jpg
Deduru oya dam,attraction,Kurunagela,0.0,Moderate,N/A,Deduru oya dam located in Kurunagela.,data/images/deduru_oya_dam.jpg
Deduru oya resovir park,attraction,Kurunagela,0.0,Moderate,N/A,Deduru oya resovir park located in Kurunagela.,data/images/deduru_oya_resovir_park.jpg
Dehena Ella,attraction,Rathnapura,0.0,Moderate,N/A,Dehena Ella located in Rathnapura.,data/images/dehena_ella.jpg
Dehiwala Zoological Gardens,attraction,colombo,0.0,Moderate,N/A,Dehiwala Zoological Gardens located in colombo.,data/images/dehiwala_zoological_gardens.jpg
Delgamuwa Rajamaha Viharaya,attraction,Rathnapura,0.0,Moderate,N/A,Delgamuwa Rajamaha Viharaya located in Rathnapura.,data/images/delgamuwa_rajamaha_viharaya.jpg
Devon Falls,attraction,Hatton,0.0,Moderate,N/A,Devon Falls located in Hatton.,data/images/devon_falls.jpg
Devon Waterfall view point,attraction,Hatton,0.0,Moderate,N/A,Devon Waterfall view point located in Hatton.,data/images/devon_waterfall_view_point.jpg
Diva Guhawa,attraction,Rathnapura,0.0,Moderate,N/A,Diva Guhawa located in Rathnapura.,data/images/diva_guhawa.jpg
Diyaluma Falls,attraction,Badulla,0.0,Moderate,N/A,Diyaluma Falls located in Badulla.,data/images/diyaluma_falls.jpg
Diyatha Uyana,attraction,colombo,0.0,Moderate,N/A,Diyatha Uyana located in colombo.,data/images/diyatha_uyana.jpg
Dolukanda rajamaha viharaya,attraction,Kurunagela,0.0,Moderate,N/A,Dolukanda rajamaha viharaya located in Kurunagela.,data/images/dolukanda_rajamaha_viharaya.jpg
Dondra Head,attraction,Matara,0.0,Moderate,N/A,Dondra Head located in Matara.,data/images/dondra_head.jpg
"Dry Zone Botanic Gardens, Hambantota",attraction,Hambantota,0.0,Moderate,N/A,"Dry Zone Botanic Gardens, Hambantota located in Hambantota.","data/images/dry_zone_botanic_gardens,_hambantota.jpg"
