name,category,district,entrance_fee,accessibility,trekking_difficulty,description,image_path
Abarana Ella,attraction,Hambantota,0.0,Moderate,N/A,Reviews: according folklore high banana dharana derives name sad story king  married beautiful twin sisters seven months leaving nice place bath fun rocky place rocks slippery need attention take bath nice bathing place rainy season calm full nature cant recommend like well cant bath muddy like riverside place sit relax good place bath view palace river nice places visit reached palace river high mini area every rock sliding carefully visiting small beautiful good good location nice place family visit nice shady location good place,data/images/abarana_ella.jpg
Ampara,attraction,Ampara,0.0,Moderate,N/A,"Nearby Accommodation: WHITE HOUSE-AMPARA (Bangalows, Grade SUPERIOR), HIDEAWAY RESORT (Guest Houses, Grade B), SUPERSTAR TOURIST INN (Guest Houses, Grade B) Nearby Accommodation: WHITE HOUSE-AMPARA (Bangalows), HIDEAWAY RESORT (Guest Houses), SUPERSTAR TOURIST INN (Guest Houses)",data/images/ampara.jpg
Anuradhapura,attraction,Anuradhapura,0.0,Moderate,N/A,"Nearby Accommodation: KIVGA HOLIDAY HOME (Bangalows, Grade DELUXE), SANDELLE HOLIDAY RESORT (Bangalows, Grade STANDARD), SADULA HOLIDAY RESORT (Bangalows, Grade SUPERIOR) Nearby Accommodation: KIVGA HOLIDAY HOME (Bangalows), SANDELLE HOLIDAY RESORT (Bangalows), SADULA HOLIDAY RESORT (Bangalows)",data/images/anuradhapura.jpg
Aradunu Falls,attraction,Badulla,0.0,Moderate,N/A,Reviews: beautiful natural water fall bath water fall near small hydropower plant nice clam place cold water nicely nature look attention please think protect team many rocks please one area situated around away town main road vehicle good ground clearance go park vehicle walk rest walking difficult first go bus got road see water board left hand side go right hand side small road around finally find easily accessible ex vehicles bikes beautiful place bathing recommended considering water conditions beautiful place please keep clean doesn't throw beautiful area bit struggle find correct path even doesn't better idea satisfied need falls named bow shape according take walk main road better get directions trusting googly maps show wrong spot beautiful cold place bathing one sri lanka better use bikes road vehicles reach destination vehicles fine park end main road walk place travelers one beautiful sri lanka road location bit misleading boards signs showing direction water lucky enough find better road  good vehicles place advance due slippery rocks possible photo trip joined beautiful nice place visit nice view water hard go  close see beautiful view magical nice small attractive take shape like bow nice place nature lovers save valuable place beautiful heart touching place near city beautiful explore best place visit attractive beautiful place love nice awesome really beauty nature ex vehicle motorcycle go road slippery due rain safe take dip reaching road signboard called left go road take road right mini hydro project board meter high named bow shape dead place depth go take bath water depth beautiful small plant lathi mega lathi mindless hidden shower come like place,data/images/aradunu_falls.jpg
Arankele archaeological site,attraction,Kurunagela,0.0,Moderate,N/A,Reviews: highly recommended place visit busy restless life peaceful collection ruins nestled easy reach lovely way spend hours acres extent archeological site lot ruins hero stayed lovely calm peaceful place would interesting sens might like part crinkle beautiful quite place beautiful place visit historical place meet archeological guru pul ask show teach things around doesn't forget reward calm n quite place keen know sri lanka interesting place worth visit crowds must see one sri lanka heritage site beautiful historical location buddhist monks archeological officers site give nice tour great birdwatching well go early morning place witness technology old melon peaceful place old complex used meditation site popular among tourist visit place take another world crankle acclaimed heritage sri lanka constructed past use meditation located divisional secretariat division hidden secret sri many ruins sequin peaceful planeload condition bit bad last two handle normal car buddhist beautiful place one hidden archaeology jets island well preserved ruins glory nature lovers lot birds butterflies nice peaceful place many old stone buildings also place inhales past demonstrate technical capabilities past one best places practice meditation calm archeological value beautiful buddhist one hidden historical place sri lanka silent place periods agent buddhist sacred place buddhist quite buddhist historical place beautiful place visit archaeological sites buddhist good place visit long historical please peace n clam best archaeological site good wow easy access proud history historical place battle crankle  archaeological site one buddhist also called maharajah located near developed kale area known crankle today means areas lived another spear monument like place reached turning junction road traveling distance aha believed lived ad building complex believed used century candy period longest,data/images/arankele_archaeological_site.jpg
Asgiriya Raja Maha Viharaya,attraction,Gampaha,0.0,Moderate,N/A,Reviews: calm quite place near entrance right hand side statue next tree go top via steps see things feel went back older days go older days stone one temples could reach colombo within short time climbing moderate number could reach top part temple gives view around raja mama located road around away town raja mama also called prana historical temple cave temple  one famous historical buddhist temple located near town raja mama cave temple situated district sri lanka temple located top hillock road approximately away town temple historical sacred place view top rock worth visiting beauty anybody buddhist temple small mountain top mountain beautiful buddhist statue place location easy reach vehicle enough parking space popular among travelers beautiful place old temple located top hill peak see around area climbed new nearly towery beautiful peaceful mountain pigeon top see whole town beautiful green cloud temple behave way calm historical temple area attractive temple top mountain statue see around city area must visit place one best buddhist temple district beautiful view top temple made place near town long range camera take many pictures area top calm quite place visit family one oldest area temple situated road meters go walking turn road beautiful place rock many people well students visiting daily buddhist temple small mountain top mountain beautiful buddhist statue see colombo town small mountain hike district one historical place visit please drop pet waste collection bin collect recycling great historical place two inscriptions temple beautiful sri lanka buddhist temple situated town believed place received king cabala gala buddhist temple located attractive calm beautiful temple area buddhist historical cave temple located close town sri lanka temple built top rock king sunset come better view really calm place nice vantage point city temple archaeological site traditional buddhist temple temple beautiful statues gods statues paintings climb mountain worship sacred statue tree stupa summit mountain get fine views around specially evening get beautiful views sunset quite old situated high grounds situated high large stone also houses arts history buddhist culture bonus could also witness great wide view one part cave temple situated district sri lanka temple located top hillock road approximately mi away town temple formally recognized calm place  nice view one temples district goes beyond king era according available records also nice place observation night sky may need obtain permission temple event raja mama cave temple situated area top hillock road approximately town said name aspirin formed raja mama cave temple lying top hillock road according temples history goes back far king said used caves one beautiful historical place area panoramic view mountain top calm beautiful place also beautiful nature around temple historical rock temple calm place freedom meditation values available interested history place advice go numbers days crowded due security reasons one hidden temple near town beautiful small mountain view top whole town top mountain beautiful temple top mountain climbing top get beautiful view strange places historical place nice place visit heritage also nice view colombo place temple town raja mama cave district sri lanka temple located top hillock road approximately mi away nice calm times statue great cultural place one best place sri lanka buddhist heritage related king cave temple situated near town beautiful place also calm wow literally could see lotus tower place nice views town one great buddhist place situated district arms giving ceremony raja mama sacred beautiful temple place beautiful popular among buddhist important attractive beautiful place visit historical place days see colombo world trade center boy towers top rock great scenery top temple monks country feeling temple king hidden panda invasion beautiful buddhist temple beautiful place lord calm place beautiful place go temple see city temple beautiful surroundings cool mind get calm beautiful clean temple good calm nudist temple nice place one calm full place temple nice place worship temple sri lanka beautiful temple buddies temple proximity town temple historical place beautiful historical buddhist temple hiking mountain place peacefully place calm peaceful sacred place quite calm buddhist temple temple build king place near worship lord buddhist historical temple nice place near city one raja mama made kings good clam great buddhist place peace full great historic value spiritual place good great place buddhist historical rock temple action place place historical value nice temple calm place excellent beautiful place nice historical place buddhist place old temple mountain need protect good place bullish temple temple history temple love place aspirin raja mama aspirin raja mama cave temple located district sri lanka road situated top hill mi town ethic papaya gala famous temple near town district road leading turn right junction travel short distance approximately beautiful royal temple come see without destroying temple built king first thing anyone steps temple feels located impossible tell whether located suburban area like adding two ways approach temple one ways using one reach point temple royal temple beautiful temple natural beauty located sea mountain located area city colombo clearly visible temple beautiful,data/images/asgiriya_raja_maha_viharaya.jpg
Atha Mala Ella,attraction,Matara,0.0,Moderate,N/A,Reviews: aha male beautiful mature district located road nice easy access road leading good condition even though narrow park cars car park mini hydro power plant near walk better get water crocodiles may present one crocodile observed near power plant created river beautiful water level increase suddenly hydropower plant nearby located near town mature district impressive flourishing river place hidden scenic spot area small named tusker said swept along powerful water tumbles impressive drop area surrounding alive wildlife particularly birds whose songs mingle sound rushing water aha male beautiful mature district located mature road little bit difficult found road easily lovely place visit bath ground level nice place small dip make sure get least see beauty bath gets dark nice place bath safe water level fluctuate time  quickly beautiful place heard area getting flooded quickly often mini hydro power plant river ink facility local tourists authorities concern developing infrastructure around tourists attractions superb near climb top good place see nature swimming bathing recommend near good places bath find beautiful situated area formed river height currently facing shortage water due mini hydro power plant beautiful site beautiful nice place visit peaceful place beautiful waterfall also place nature friendly beautiful place beautiful place go upper part lower part take bath lower part power plant closed visitors due corona days natural place nice place suitable wedding preschool beautiful place named eta male tusker small hydro power plant nearby wise enough bath great depth till matter natural water fallout go vehicle small distance smell power station nearby visitors allowed power station due average place water clear much beautiful active rainy seasons beautiful born gin gaga pay attention water level visit normally water increasing situated way main road water level increased rapidly rainy days therefore swimming risky scenic place generation plant better visiting morning hours nice place bath fun however water flow uncertain sometimes reduced frequently super place visit get bath thereby remember one thing doesn't pollute thanks nice beautiful place deep love way destroyed constructing mini hydro power plant vanish beauty great place good view safe bath though doesn't try reach looks located road near power station beautiful beautiful doesn't rest houses facilities beautiful near beautiful much grate natural place awesome natural beauty go check road large difficult cross two vehicles poor maintenance see beautiful located nice place visit get bath scenic place best place bath beautiful peaceful place good great bath safe location one beautiful place area nice place water river good place bath many rocks swimming area great place good place located beautiful water fall lovely water beautiful place ever beautiful place nice location river wow nature go good place place cool place traveling road passing town reach beautiful falls walk short distance along side road lies middle beautiful nil right side area although ways reach must said reach easily road belief called fall elephant past beautiful fed river falls also see power plant follow googly map road totally true parking visitors nearby power station walk path  top uncut power shooting angle ground arrived took photo well done beautiful mature district created known also known falls water river beautiful creation nature height meters beautiful surroundings suitable place bathing closest town use road nil datura road reach roads join junction passing meet falls past elephant market place elephants used hang one day elephant going market place got name elephant falls according two parts upper part stream water flows freely creating second  part water creates large pool water beautiful secluded side beautiful place walk little distance power plant good experience place many people come drink leeches valet doesn't know nomad,data/images/atha_mala_ella.jpg
Athkanda raja maha viharaya,attraction,Kurunagela,0.0,Moderate,N/A,Reviews: buddhist temple situated candy road clock tower provide great service area years free place lot space group people live large number different types works library consisting tail languages books language books teaching culture national get another boost temple center history kingdom original book good place peoples religions temple raja mama raja mama also known buddhist temple good nudist temple located tallest rock nice calm view relaxing around top rock must visit place keeps mind healthy one oldest temple valuable wall arts era plugola mountain around temple big rock like become rock called hath crypt temple note mama built king many time reconstruction temple two make stone cover mortar robe design buddhist temple visit holidays located town nice old temple historical buddhist temple located candy road walking distance town calm place specially evening cave temple well provides service area also giving leadership solving many national issue buddhist temple located near rock historical buddhist temple rock situated near main town identification temple nice place nice relaxing easily accessible attractive temple great buddhist temple area belongs period historical things specially local people others come visit place located near town must go visit temple one oldest temples historically significant even kings era great place observing sit nowadays also historical temple situated close town history extended king according archeological department notes temple built king calm place facilities visitors wash rooms dining area better visit morning late evening stack bit hard according details belonging previous period buddhist come sri lanka human settlement note idea rock use sura also raja mama buddhist temple archaeological value great history near city good place relax mind temple oldest temples temple located road meters far town sri lanka town capital northwest temple feet temple belonging maya rata main road candy junction four roads go aside vehicle sounds adjacent road really peaceful place great meditation one old temple ruins available must visit temple trip via old taka temple place famous feet landscape seems bit unorganized may due ongoing construction medium drama conducted h calm nice place relax peaceful historical area one oldest buddhist temple city historical buddhist temple place famous feet located town lots buddhist activities going good surrounding temple cave structures buddhist cultural archeological value largest buddhist temple town near rock place clam nice place go experience inner peace calm beautiful temple good visit soya day calm historic temple near city good nice place beautiful peaceful beautiful temple one historic places visit loved one historical buddhist temple famous temple town area good place activities historical travelers doesn't miss place visit get experience tit begins time king good temple buddhist people famous historical temple good bit busy one main temple good place love place one oldest historical place famous place town sri lanka blessed buddhist temple historical place town clam place historic temple historical temple nice buddhist place excellent temple secret beautiful place one main temples big temple buddhist place peaceful filing heritage temple good place visit best temple done ugh peaceful place blessing release mind good service historical places beautiful place worship place good place history behind statues historical heritage place located valuable visit offer services located candy road one away town district province anyone entering city see samadhi statue temple located foot sat koala place worship body people secret place enter temple foot going short distance along candy road near clock tower town cave temple main temple element also reclining statue temple located foot arugula center city leased district said king relative king built temple peaceful temple one city center posting article published newspaper passage reverend land cruiser eat need pleasant place heart city famous relaxing famous station major temple natural beauty big natural place sacred place went second time action likes,data/images/athkanda_raja_maha_viharaya.jpg
Athugala viharaya,attraction,Kurunagela,0.0,Moderate,N/A,Reviews: beautiful place views 'll find ample free parking near temple providing plenty space visitors best part entrance temple completely free reach rock two rock temple obtained name stone elephant appearance meters high locals myth rock formed due animals turning rocks inadequate withstand harsh dryness beautiful place view rocket lord add beautiful whole town temple sri town full view place looking evening u going place brain visit place see entire view city relaxing two ways get car van bike go top mountain without issue doesn't make foot another way walkers temple top rock also big samadhi statue beautiful place visit around morning evening time easily reach place using carpet road park vehicles car park climb place situated great view busy town place calm 'll able see part town narrow road go road condition good take vehicles near around walk temple better go early morning view town beautiful place calm see town perfectly beautiful place views crowded normal days except soya days place open worshipping even night car park space people reach rock front lovely calm place hard climb temple foot using footpath rock therefore easy take vehicle mountain top car park available near statue district northwestern province sri lanka locating middle country many tourist destinations districts based mountain summits caves sacred temples one peaceful place breath taking view real scenic picturesque location watch panoramic view town large statue adds real value city travel vehicles top vehicle parking done parking lot bit top located sea level large statue overlooking city accessed three wheel car well built road goes way top recommendation rock nice tourist attraction town order approach rock temple climb rock takes around average person reach top buddhist statue overlooking one scenic places area mind place police people allowed couple place lord buddhist never said please get action it anyone people go place temple easily accessible town visitors either climb rock use carpet road lead near temple road conditions good visit place may temple town see degrees view town heard see sri papaya knuckles mountain range rock direction also called splendid rock overlooks town sri lanka situated around away town rock gets name due shape elephant must visit best visited evening goes good view town temple located top rock view night people come night peaceful worshiping meditation temple one popular player situated town self go near temple car top rock view town better go afternoon night panoramic views around carpet road top parking area well statue really see good part town lake newly building highway well great evening outing place buddhist people love go well nice view town one see town area car park reach top walk rest large rock surrounds dominates town known elephant rock really looks like tusk elephant sleeping height large statue sacred buddhist temple around city beautiful location top rock mountain buddhist temple certainly place everyone extremely beautiful panoramic view city top rock get atop land vehicle well hiking top elephant rock venue royal capital sri lanka northwestern province nearly candy point town view easy climb beautiful place arugula buddhist temple claim quite beautiful place great buddhist statue attractive place must visit place tourists also polite place drive carefully hill slope going go beautiful located distance colombo capital north western province city located altitude meters sea level located heart city must visit place city beautiful view provides beautiful view townsman reach top vehicle place must visited around best scenic place watch town beautiful morning beautiful place visit around morning evening time great place great view entire city able see beautiful view u climb rock evening temple top rock also big samadhi statue picturesque place showing greenery mixed town building calm place lord statue adds beauty place view top rock see entire city statue top rock good place historical place beautiful calm place beautiful peaceful place located large rock view area night beautiful view top mountain view valuable place buddhist people beautiful place went night peaceful way busy town see view place windy well buddhist temple dress behave accordingly go vehicle almost top parking somewhat small check going vehicle place identity city well north west province statue created nearly year place large area including city beautiful place view visiting must visit try get top around see beautiful parking available top hill make sure drive slowly going googly maps easily miss route anyway road one best places visit coming travel nearly half shady bushes across road beauty comes approach great buddhist statue standing proudly looking beautiful place good view city go way near statue car best view pointy visit night see view beautiful temple view great place calmness nice view historical temple raja mama way also called splendid rock overlooks town sri lanka situated around away town rock gets name due shape elephant iconic landmark beautiful peaceful must go full moon day view calm good place view small hike beautiful get peaceful day amazed location attractive thrilling see whole town go inside lord statue fence around rock safety annoying monkeys nice place reach unto summit vehicle evening sky attractive good place rock got name meaning elephant rock merely shape like elephant statue massive lord spiritual object rather another beautiful place middle town buddhist place located top mountain located middle city anyone passing city easily see large statue height meters place best place spend evening panoramic view whole city try see unforgettable never forget u place worship silent feel best wayfaring space enough place crowded beautiful place sri lanka see whole area point see town beautiful temple wish go please go early morning evening doesn't go hot time climbed riding mountain bicycle good carpet road nice view wind open area good place peak rock first see buddhist statue see city small match boxes top beautiful place see whole city like see nice set better go never forget beanery famous place sri lanka view go see whole city also good place rest beautiful view town surrounding area elephant rock city value town elephant rock elephant periods severe drought animals symbol statue top rock blessing whole town top see view town statue located feet heart city district north western province palate traditionally called city view point well paved access road top even car ride without problem road sides top accommodate cars though top rock situated right middle town need small climb take half hour rock make climb easy one please mount northern town center ascended car foot along road switchbacks uphill candy road east clock tower imperial theatre calm place visit see whole town top entrance way trees makes cool famous statue temple beautiful place visit free entry kinda temple locates top city ideal place visit ways reaching round road distance get onto top 'll lot statue located feet heart city district north western province traditionally called city series rocks namely lord buddies statue rock place see entire city beautifully nice buddhist historical place soon climbed top view city lake explored widely known magnificent statue best place offers beautiful panoramic view around city beautiful temple city center birds view city top rock temple built upon better visit place early morning evening really difficult climb rock daytime evening view picturesque see town night nice view really nice view visit situated famous elephant rock giant statue built top rock reached vehicle climbing rock isolated hill situated city center crowded soya days perfect view evening view place whole town visible reach place either road climbing along rock free looking walk climb foot take either road steps would suggest road nice temple situated beautiful places nice view calm place beautiful calm place within city beautiful view mind relaxing place see entire city top rock lord statue situated great place visit elephant rock identity natural view point cover kingdom beautiful place beautiful location good one main place see beautiful view great place take rest awesome place spend time loved beauty nature nice place scenic view wonderful creation good place good location located behind famous breath taking panoramic view city peaceful love place see best view town beautiful temple rock see whole town peaceful place spend evening watch place good place see area including whole town lake love place childhood go friend month beautiful place statue lord buddhist magnificent view town great place ages looking experience buddhist sacred site statue bird eye view town built people crowded good place see two buddhist temple one place like peaceful place magnificent view city statue placed rock town elephant rock worth climb great views best place visit picturesque scenery beautiful temple fabulous view scenery sonic nice calm place ideal meditation beautiful place honor relaxing beautiful vibes city place night see beauty beautiful view evening hours nice view worship love watch whole city best beautiful place drive near top calm beautiful place lovely place real meditate beautiful views around area best place visit get free time surrounded mother nature historical traditional place calm nice place visit panoramic view great windy season great view point iconic temple beautiful peaceful great uploaded photos city view peacefully place life see lot places august loved place nice place best landmark ah views beautiful secret place calm peaceful place historical buddies place night time perfect peaceful beautiful place place statue everything located lovely spot good good useful really nice view place hidden gem great place visit must visit least beautiful best vising place chill quite place super buddhist statue really superb place important place claim good views experience enchanted statue  development society completed statue brings blessings city become heart city arugula impressive rock located city sri lanka also known people located away city rock got name nature beautiful place lake circle love place colombo away capital northwest province located center city arugula known symbol city identity high place beautiful view surroundings big statue blessing city beautiful beauty evening mind blowing,data/images/athugala_viharaya.jpg
Attidiya Bird Sanctuary,attraction,colombo,0.0,Moderate,N/A,Reviews: spots scenic make ideal dwelling birds creatures would lots better locals make effort preserve pristine nature good place birdwatching different type around calm peaceful location visit time got separate walking path separate path ride bicycles bicycle renting shops near park rent bicycles ride got one places entire city known providing minimum different birds includes migratory local birds able witness large number early morning magical time dawn cool surround marshy waters one observe bird life move freely around looking food preening place cycling good set people maintain properly food court also enough space parking urban birds watching placename thinking place similar hackbut separate develop road better go road catch amount birds pictures crocodiles closest place heaven find close colombo suburbs average food court mar beauty holds within place lively laughter rent bike ride around sanctuary relaxing place located conveniently plenty parking around place birds watching best times around walking track round trip passing temple good area watch birds also beautiful recommended walking bicycles calm natural place  fact birds sanctuary wrong term cycling track food court seating area cement tables trees get bike rent keeping nice lien amidst well populated suburbs colombo lie marshy lands bird sanctuary bordering famous buddhist temple sanctuary diverse birdlike comparatively nice place watch birds near colombo large lake surrounding bird sanctuary contact via stay accompany many bird watching sanctuary colombo district western province including bird sanctuary place colombo provides least different birds local migratory good place bird watching reach early morning many local birds human crocodiles lake nice place see birds morning around see beautiful views beautiful scenery lovely place walk jog cycle ride common area everything lake road sometimes crocodiles well nice place come evening time change important place keep balance nature however part sanctuary near bridge road near invaded shops covering scenic view board displaced well ideal place day outing family place much crowded meal food court ride bicycle ride around lake rent bicycle per hour much good nature lovers good place make mind relaxed also ride bicycle great place evening walk bicycle ride really lovely track sad say park condition early people nice place hangout evening little food court doesn't much food varieties car park  vehicles also bicycles rent near park give nice per hour bike basically nice place spend evening family great place walking track biking track food court nice look around deciding one refreshing places see colombo bird sanctuary home avian along variations insects butterflies biodiversity place leave take place riding bicycle family members also good place lovers walking around spend times many things available little hard find entrance besides great mufti use trail around lake birds many hoped relaxed place popular locals tourists calm peaceful lovely place walk jog cycle ride wish would place boards indicating distance start point users would know distance covered annoying number people walk natural expansive area lot greenery lot birds visit early morning see birds 'll see daytime looks like increasing population surrounding areas ever rising levels driven birds away reasonably sanctuary good place spend time people health fitness scenic route walking cycling track relaxing place located conveniently plenty parking around place birds watching best times around walking track round trip nothing special see limited choices fish therapy fish really botany place visit interested nothing much see great place evening dinner bit expensive foods compare taste quality quite reasonable also track round great cycling near park temple track around sanctuary long crowded nice place evening walk friends family mountain bike rental places nearby get one less price great place attractive view good place visit relaxing walking couple good locally popular eateries offer clean tasty food good place scattering cycling cycles rented cheap rate many birds place colombo provides least different birds local migratory large number water monitors butterflies insects birds tend catch attention place early morning beauty rising behind dams peak distance spiritual physical one breathe surrounding marsh wake call birds looking crocodiles lurking water bliss park people enter unless authorization name park given meaning going go main road needs little maintenance good place animal treatment wild bird home could fly looked sick gave bird sanctuary veterinary available time taker bird many animals present well maintained allowed visitors unless tree planting check relevant authorities needed visiting urban sanctuary area near colombo suburb area sanctuary diverse biodiversity including birds butterflies fish walking track inside sanctuary obtain information entrance office nature completely authorities destroyed beauty place birds see due people natural nature park greater colombo bird sanctuary place people beginners bird watching visit feel please remember pollute go nice place bike ridding bird watching workers trained security guard came told take photographs door camera phone commercial recording allowed peace full place nice place hangout friends track separate bicycle track great going food court well free cs days week extremely picturesque well planned walking cycling path also food court must everyone healthy body mind soul good place easy reach ample parking good food outlets needs segregated cans places people tend near vicinity good place watch birds important also see many variety birds see crocodiles rivers must protect aria definitely formal birding trail within sanctuary really good proper trail constructed maintained ticket booth information center doesn't go days constructions going evenings full  machines bird watchers ever watch birds go morning group safety scenic place walk experience paddy experience deferent happenings people ages walks life close city natural beauty home several varieties birds sri lanka spring several birds come different countries place close colombo bird watching see creatures like dragonflies butterflies like monitor water monitor entrance free unless hire guide plastic pollution need addressed direction visited give bird found worried since want eating kind taking higher beautiful place adjoins well maintained track surrounding lake love visiting place relax take photos different kinds birds taking pictures landscape beautiful one bird sanctuaries within colombo quite worth visit early morning get see large number birds bird hatching busy walkway good sanctuary sri brick development carried recently biodiversity reduced department wildlife conservation paid much attention protect resource one suitable place take fresh breath colombo need break go calm love place place spend evening foods tasty little bit expensive visit eager visit peaceful place visit evenings one see lots birds especially evening times good place photography walk three round result steps celery loss hours pretty nice place lucky might able see salt water cross well beautiful area people dumped garbage made area many birds butterflies small around place see crocodiles birds great place becoming lovers park lovers seem limits behavior walk around walking path cycling great splendid time watching birds sanctuary place clean nice kind calm peaceful place specially good mind relaxation also beautiful place place observe birds around world specially winter good studying birds lot space facilities food parking spaces bicycle natural walking path cool family outing good street foods also available near nice place hangout evening rent bicycle ride around paddy field nice scenarios visitors come place polythene plastic wastes left everywhere urge everyone responsibility keep places clean city place touch nature interested bird watching taking photos willing get shoes mud good place place path restaurants also available nice place relax evenings really good place like rest beautiful scenery nice location bird butterfly watching week days much crowd crowded perfect place quick bites beautiful views make use lake allowing boat rides good nice place evening walk specially weekday crowds hardly animals small part left happy good place easy access food court parking available great place nice view bring relax good place spend time friend family members increasing pollution made less sanctuary birds plan go bird watching prepared disappointed great place visit watch lot birds place supper see alligator around colombo best place proper entrance sensitive conservation area colombo love nice place walk water birds mostly place make visit bird park constructions become good place relax mind place track bicycle riding walking track cycling track close walk bird songs good place spend  spare time close temple good join path cycling path area beautiful great place unwind nature beautiful place many reptiles place best surprised never bird thereof buy cocoons food fish food love place clean nicely kept nice place natural birds beautiful placenta many bird good nice place spend time track cycling track location ecology developed go become full fledged sanctuary best place riding much maintenance current government nice place take little rest long driving used sit visit temple noon place hot restricted area went nothing watch rumors says good place girls lovely spot bird watching specially water migrants nice natural place good place watch birds feel natural good place cycling walking place cycling food partner animal hospital bring animals place take great place drop bird u might beautiful place watch migrating birds lovely gorgeous place many varieties birds cross really nice place visit good place may got restaurant relaxing walking path saw lots visiting birds wild life sanctuary animal hospital provide treat animals badly polluted due human activities yet trying keep well constructions happened good bicycle riding low choice food awesome place visit colombo witness wide variety birds place big biodiversity ideal location bird watching nice place watch photographs kinds birds good place cycling crowded nature lovers location watch birds good place discover nature beginners good place hang friends family cool place outing different types food available much birds watch place relax mind within colombo area nice lots birds urbanized great place bicycle ride nice place u like nature beautiful clean natural looking area nice calm place crowded nice place rent bicycle ride along lake side bird sanctuary closed place doesn't go allow anyone go inside good place relax food cycling clam love place best place relax recreation food crowded place next temple popular among locals good walking well birding lovely place near colonel could find bird sanctuary place changed you animal hospital please update records good place bicycle riding great place stroll evening good place birds photography colombo cleaned place birds worst place visit u need watch birds go nice place stay family friends good natural place green scenery good facility bad smell areas close lake used go walk walking track place really good relaxing people destroying place new construction garbage dumping got need protect places people destroy good nice place bicycle ride beautiful good tasty foods big offers customers safe place good place bird watching mainly flamingos starts sad see lovely place like turned garbage dump beautiful visiting place special birds good place visit calm quite area surrounded busy towns good place joking cycling walking thanks much help support get nice colors hand bags good place Waterland birds foods good place relax n cycle good place decent workout one best places wild photograph calm nice place lots views great place buy plants food items good place person loves nature good lot dogs good used years back get birds one protective area general public less sad one best walking places nice place visit quite calm must visit place well arranged place good calm walk place protect future generations sadly polluting good beautiful care place clean calm place beautiful great place morning walk greatest customer service oriented staff superb place quite walk beautiful people start spoiling place best place colombo spend evening nice place walk cycling nice place walk around really nice place evenings small bird sanctuary located area rare birds lot pollution around place perfect cool place watch birds watery background good place peaceful walk naturalist place slowly losing government needs take precautions,data/images/attidiya_bird_sanctuary.jpg
